French,English
partie,part
histoire,history
chercher,search
police,police
pensais,thought
aide,help
mois,month
laisser,let
mettre,to put
aucun,no
eux,them
chaque,each
parlé,speak
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
savais,knew
étaient,were
attention,Warning
pourrais,could
leurs,their
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
premier,first
première,first
côté,side
sois,be
matin,morning
enfant,child
suite,after
pardon,sorry
venez,come
demandé,request
belle,beautiful
droit,law
aimerais,would like to
mari,husband
enfin,finally
attendez,Wait
nouvelle,new
arrêter,Stop
dirait,would say
terre,Earth
loin,far
croire,believe
gros,large
aura,will have
bureau,office
